pm25_mean,ozone_mean,no2_mean,year_month
13.158328461267606,16.8219243243243,17.923442653333336,2022-01
12.347271703065134,22.825813253012,18.48358252857143,2022-02
10.035888338742394,29.4114596774193,15.174496903225808,2022-03
6.6303993424369745,33.695825,11.47051876,2022-04
7.475124238596492,33.7456330645161,10.37074786451613,2022-05
7.417623845601437,36.909144067796596,10.37434827027027,2022-06
8.638271521891419,38.8679879032258,9.613288438709676,2022-07
7.971825670103093,36.0480201612903,9.949496206451611,2022-08
7.642355080617495,30.9857740585774,10.276607526666666,2022-09
9.33646931270903,24.155845833333302,15.523316858064517,2022-10
11.42356831462585,19.2751833333333,17.537993255474454,2022-11
10.67678687123746,15.2241451612903,17.061582393548388,2022-12
9.044526748776509,17.0787081081081,16.346649232258063,2023-01
10.006399461121156,22.477988505747103,17.808679692857144,2023-02
7.603838606060606,30.769321888411998,14.033417606451613,2023-03
8.135045952782463,36.33275,11.5119549,2023-04
7.792430935855263,34.120336492891,10.36045886451613,2023-05
18.44732386846543,36.0043613861386,10.034753904761905,2023-06
12.095272751515152,40.7413536585365,9.89427329032258,2023-07
9.037487133663369,34.1012535211267,8.686626851612903,2023-08
8.745877511864407,29.1695291262135,9.861550193103447,2023-09
8.784224176666667,21.2388194444444,15.298358703225803,2023-10
10.403569805555556,19.036125000000002,18.226845106666666,2023-11
12.269226962093864,13.8976385542168,18.81103130496454,2023-12
8.559349814756672,16.362519480519403,16.036311896774194,2024-01
8.404944463768116,21.5313071895424,15.683295577464788,2024-02
6.406619092920354,28.662382488479203,12.34066047096774,2024-03
7.394276532307693,33.7114380952381,11.928806153333332,2024-04
6.904058720895522,32.6280276497695,10.518809787096773,2024-05
8.302213933846152,39.1136857142857,9.553598386861314,2024-06
9.912333741784035,37.6297788018433,9.566333729032255,2024-07
9.934028795522387,34.2344700460829,9.002329374193549,2024-08
7.184207025078369,30.3084174757281,9.875763306666666,2024-09
8.788194254185694,25.8890947867298,14.57004610967742,2024-10
8.768933924148607,19.697139999999997,14.209808673913043,2024-11
10.864441100609756,16.057748091603,17.459201999999998,2024-12
8.222402597402597,27.450819672131143,,2025-01
7.083516483516483,31.52892561983471,,2025-02
6.300974025974027,37.96774193548387,,2025-03
6.134680134680135,42.476190476190474,,2025-04
6.147712418300654,37.125,,2025-05
10.40168918918919,48.06993006993007,,2025-06
9.664724919093851,50.75524475524475,,2025-07
8.612944983818771,44.83448275862069,,2025-08
6.885559566787004,39.41085271317829,,2025-09
4.556949152542373,30.835714285714285,,2025-10
5.610493827160494,27.846153846153847,,2025-11
8.026797385620915,22.936936936936934,,2025-12
